[2026-07-27 12:02:45] 準備下載 6 章（3 版本 × 2 卷），間隔 1.00s，gb=0
[2026-07-27 12:02:52] 進度 6/6｜新增 6 跳過 0 失敗 0｜約剩 0 分
[2026-07-27 12:02:53] 完成：新增 6、跳過 0、失敗 0（共 6）
[2026-07-27 12:03:40] 準備下載 3567 章（3 版本 × 66 卷），間隔 1.50s，gb=0
[2026-07-29 09:56:27] 進度 150/301｜新增 150 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:28] 進度 125/190｜新增 125 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:32] 進度 462/628｜新增 175 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:56:36] 進度 175/301｜新增 175 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:37] 進度 150/190｜新增 150 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:40] 進度 487/628｜新增 200 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:56:45] 進度 200/301｜新增 200 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:45] 進度 175/190｜新增 175 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:49] 進度 512/628｜新增 225 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:56:51] 進度 190/190｜新增 190 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:51] 完成：新增 190、跳過 0、失敗 0（共 190）
[2026-07-29 09:56:55] 進度 225/301｜新增 225 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:56:59] 進度 537/628｜新增 250 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:57:04] 進度 250/301｜新增 250 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:57:08] 進度 562/628｜新增 275 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:57:13] 進度 275/301｜新增 275 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:57:17] 進度 587/628｜新增 300 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:57:22] 進度 300/301｜新增 300 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 09:57:23] 進度 301/301｜新增 301 跳過 0 失敗 0｜約剩 0 分
